,Date,Name,Split,Amount
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/04/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/04/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/07/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,90.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/09/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/09/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/09/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/09/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/09/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/09/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/09/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/09/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/10/2017,Indeed,2063 · Fidelity Visa Signature Card,500.72
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,45.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2063 · Fidelity Visa Signature Card,25.00
,08/10/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/10/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/10/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/10/2017,CraigsList,2067 · Fidelity Visa - Reliable,25.00
,08/11/2017,"Tuttle Marketing Services, Inc.",0102 · Huntington Operating,796.99
