AIdent,Activation Day,Branch,City,How Heard Of
184128,8/1/2017,08-Columbus West,Columbus,Friend/Relative Referral
184129,8/1/2017,05-Elyria,lorain,
184130,8/1/2017,03-Independence,bedford hts,Craigslist
184131,8/1/2017,12-Chicago,Berwyn,Craigslist
184132,8/1/2017,08-Columbus West,Columbus,Other web site
184133,8/1/2017,12-Chicago,Chicago,Friend/Relative Referral
184134,8/1/2017,07-Columbus East,Columbus ,Friend/Relative Referral
184135,8/1/2017,03-Independence,cleveland,Friend/Relative Referral
184136,8/1/2017,05-Elyria,Avon Lake,Craigslist
184137,8/1/2017,08-Columbus West,columbus,Friend/Relative Referral
184138,8/1/2017,03-Independence,cleveland,Craigslist
184139,8/1/2017,10-West Chester,Cincinnati,Friend/Relative Referral
184140,8/1/2017,12-Chicago,morris,Friend/Relative Referral
184141,8/1/2017,03-Independence,CLEVELAND,
184142,8/1/2017,06-Akron,Akron,Indeed
184143,8/1/2017,05-Elyria,N. Ridgeville,Friend/Relative Referral
184144,8/1/2017,03-Independence,cleveland,Indeed
184145,8/1/2017,06-Akron,Akron,Indeed
184146,8/1/2017,05-Elyria,Lorain,Friend/Relative Referral
184147,8/1/2017,10-West Chester,Trenton,Craigslist
184148,8/1/2017,05-Elyria,Lorain,Friend/Relative Referral
184149,8/1/2017,05-Elyria,Lorain ,Indeed
184150,8/1/2017,03-Independence,cleveland,Craigslist
184151,8/1/2017,03-Independence,cleveland,Indeed
184152,8/1/2017,08-Columbus West,Columbus ,Friend/Relative Referral
184153,8/1/2017,03-Independence,Aurora,Indeed
184154,8/1/2017,11-Florence,Elsmere,Friend/Relative Referral
184155,8/1/2017,12-Chicago,Chicago,Craigslist
184156,8/1/2017,11-Florence,elsmere,Friend/Relative Referral
184157,8/1/2017,11-Florence,cincinnati,Other web site
184158,8/1/2017,03-Independence,,Advanced Careers
184159,8/1/2017,03-Independence,Bedford ,Indeed
184160,8/1/2017,07-Columbus East,Blacklick,Newspaper Ad
184161,8/1/2017,03-Independence,Cleveland ,Friend/Relative Referral
184162,8/1/2017,09-Lancaster,Lancaster,Friend/Relative Referral
184163,8/1/2017,06-Akron,AKRON,
184164,8/1/2017,03-Independence,Cleveland,Friend/Relative Referral
184165,8/1/2017,06-Akron,Brunswick,
184166,8/1/2017,12-Chicago,Park forest ,
184167,8/1/2017,12-Chicago,Richton Park,
184168,8/1/2017,11-Florence,Cincinnati ,Indeed
184169,8/1/2017,06-Akron,Canton,Indeed
184170,8/1/2017,12-Chicago,Park Forest ,
184171,8/1/2017,05-Elyria,Sandusky,Other web site
184172,8/1/2017,06-Akron,AKRON,
184173,8/1/2017,12-Chicago,Park Forest,
184174,8/1/2017,05-Elyria,,Advanced Careers
184175,8/1/2017,12-Chicago,Bolingbrook,Flyer
184176,8/1/2017,08-Columbus West,Grovecity,Friend/Relative Referral
184177,8/1/2017,09-Lancaster,lancaster,Friend/Relative Referral
184178,8/1/2017,07-Columbus East,Columbus ,Friend/Relative Referral
184179,8/1/2017,03-Independence,Euclid,Friend/Relative Referral
184180,8/1/2017,11-Florence,cincinnati,Craigslist
184181,8/1/2017,11-Florence,Cincinnati,Indeed
184182,8/1/2017,11-Florence,Cincinnati ,Friend/Relative Referral
184183,8/1/2017,05-Elyria,Vermilion,Craigslist
184184,8/1/2017,12-Chicago,Romeoville,Flyer
184185,8/1/2017,11-Florence,,Advanced Careers
184186,8/1/2017,07-Columbus East,Columbus,Friend/Relative Referral
184188,8/1/2017,12-Chicago,Chicago ,
184189,8/1/2017,03-Independence,Cleveland,Friend/Relative Referral
184190,8/1/2017,07-Columbus East,,Advanced Careers
184191,8/1/2017,10-West Chester,,Advanced Careers
184192,8/1/2017,03-Independence,Lakewood,Craigslist
184193,8/2/2017,11-Florence,Cincinnati,Flyer
184194,8/2/2017,03-Independence,Parma,Indeed
184195,8/2/2017,10-West Chester,,Advanced Careers
184196,8/2/2017,08-Columbus West,colombus,
184197,8/2/2017,08-Columbus West,columbus,
184198,8/2/2017,11-Florence,Florence,Flyer
184199,8/2/2017,11-Florence,Dry Ridge,Craigslist
184200,8/2/2017,08-Columbus West,Columbus,Friend/Relative Referral
184201,8/2/2017,05-Elyria,Lorain,Indeed
184202,8/2/2017,06-Akron,Akron ,
184203,8/2/2017,11-Florence,cincinnati,Other web site
184204,8/2/2017,08-Columbus West,GALLOWAY,Friend/Relative Referral
184205,8/2/2017,03-Independence,Cleveland,
184206,8/2/2017,08-Columbus West,galloway,Friend/Relative Referral
184207,8/2/2017,07-Columbus East,Reynoldsburg,Friend/Relative Referral
184208,8/2/2017,06-Akron,Akron,
184209,,10-West Chester,,
184210,8/2/2017,07-Columbus East,Canal winchester,Friend/Relative Referral
184211,8/2/2017,12-Chicago,Chicago,Craigslist
184213,8/2/2017,06-Akron,Akron,
184214,8/2/2017,06-Akron,Mantua,
184216,8/2/2017,12-Chicago,Country Club Hills ,Craigslist
184217,8/2/2017,12-Chicago,Crestwood ,Craigslist
184218,8/2/2017,05-Elyria,Elyria,Friend/Relative Referral
184219,8/2/2017,05-Elyria,elyria,Indeed
184220,8/2/2017,05-Elyria,Lorain,Indeed
184221,8/2/2017,12-Chicago,joliet,Indeed
184222,8/2/2017,11-Florence,Cincinnati ,Friend/Relative Referral
184223,8/2/2017,03-Independence,Cleveland ,Indeed
184224,8/2/2017,06-Akron,Akron,
184225,8/2/2017,06-Akron,Mantua,Indeed
184226,8/2/2017,12-Chicago,Chicago,Craigslist
184227,8/2/2017,05-Elyria,Elyria,
184228,8/2/2017,12-Chicago,Melrose Park,Flyer
184229,8/2/2017,12-Chicago,BELLWOOD,Flyer
184230,8/2/2017,12-Chicago,Chicago,Other web site
184231,8/2/2017,08-Columbus West,colombus,Other web site
184232,8/2/2017,06-Akron,Cuyahoga Falls,
184233,8/2/2017,11-Florence,cincinnati,Friend/Relative Referral
184234,8/2/2017,11-Florence,Burlington,Friend/Relative Referral
184235,8/2/2017,08-Columbus West,Columbus ,Other web site
184236,8/2/2017,06-Akron,akron,Craigslist
184237,8/2/2017,12-Chicago,Riverdale,Friend/Relative Referral
184238,8/2/2017,12-Chicago,Calumet City,
184239,8/2/2017,12-Chicago,Chicago,
184240,8/2/2017,12-Chicago,Riverdale,Friend/Relative Referral
184241,8/2/2017,09-Lancaster,lancaster,Flyer
184242,8/2/2017,12-Chicago,Chicago,
184243,8/2/2017,08-Columbus West,columbus,Other web site
184244,8/2/2017,12-Chicago,Chicago,Craigslist
184245,8/2/2017,12-Chicago,Park Forest,
184246,8/2/2017,12-Chicago,Robbins,Indeed
184247,8/2/2017,06-Akron,rittman,Indeed
184248,8/2/2017,03-Independence,cleveland,
184249,8/2/2017,07-Columbus East,columbus,Friend/Relative Referral
184250,8/2/2017,06-Akron,Akron ,
184251,8/2/2017,08-Columbus West,Columbus ,Friend/Relative Referral
184252,8/2/2017,07-Columbus East,columbus,Indeed
184253,8/2/2017,06-Akron,akron,Craigslist
184254,8/2/2017,07-Columbus East,columbus,
184255,8/2/2017,08-Columbus West,columbus,Friend/Relative Referral
184256,8/2/2017,11-Florence,covington,Friend/Relative Referral
184257,8/2/2017,08-Columbus West,columbus,Friend/Relative Referral
184258,8/2/2017,12-Chicago,Chicago,Flyer
184259,8/2/2017,06-Akron,Barberton,
184261,8/2/2017,11-Florence,cincinnati,Friend/Relative Referral
184262,8/2/2017,12-Chicago,Chicago ,Friend/Relative Referral
184264,8/2/2017,07-Columbus East,,Advanced Careers
184265,8/2/2017,07-Columbus East,Columbus,Friend/Relative Referral
184266,8/2/2017,12-Chicago,Park Forest,
184267,8/2/2017,11-Florence,EDGEWOOD,Flyer
184268,8/2/2017,08-Columbus West,colmbus,Craigslist
184269,8/2/2017,12-Chicago,Bolingbrook,Friend/Relative Referral
184270,8/2/2017,12-Chicago,Chicago,Other web site
184271,8/2/2017,12-Chicago,Bellwood,
184272,8/2/2017,11-Florence,Cincinnati ,Indeed
184273,8/2/2017,12-Chicago,Chicago Heights,
184274,8/2/2017,06-Akron,akron,
184275,8/2/2017,12-Chicago,bolingbrook ,Flyer
184276,8/2/2017,07-Columbus East,Columbus,Friend/Relative Referral
184277,8/2/2017,12-Chicago,Dixmoor,
184278,8/2/2017,12-Chicago,Chicago,Friend/Relative Referral
184279,8/2/2017,05-Elyria,Lorain,Friend/Relative Referral
184280,8/2/2017,11-Florence,Florence,Flyer
184281,8/2/2017,10-West Chester,Cincinnati,Friend/Relative Referral
184282,8/3/2017,12-Chicago,Chicago ,Friend/Relative Referral
184283,8/3/2017,12-Chicago,Chicago,Other web site
184284,8/3/2017,06-Akron,Akron,
184285,8/3/2017,12-Chicago,Park Forest,
184286,8/3/2017,08-Columbus West,Columbus,Other web site
184287,8/3/2017,11-Florence,Cincinnati,Craigslist
184288,8/3/2017,08-Columbus West,Columbus,Other web site
184289,8/3/2017,06-Akron,Stow,
184290,8/3/2017,03-Independence,cleveland,Friend/Relative Referral
184291,8/3/2017,03-Independence,maple heights,Craigslist
184292,8/3/2017,03-Independence,Brookpark,
184293,8/3/2017,05-Elyria,Lorain,Friend/Relative Referral
184294,8/3/2017,06-Akron,akron,
184295,8/3/2017,03-Independence,euclid ,Craigslist
184296,8/3/2017,11-Florence,Cincinnati,
184297,8/3/2017,03-Independence,CLEVELAND,Indeed
184298,8/3/2017,03-Independence,EUCLID,
184299,8/3/2017,06-Akron,Akron,Indeed
184300,8/3/2017,11-Florence,cincinnati,Other web site
184301,8/3/2017,06-Akron,Wadsworth,
184302,8/3/2017,08-Columbus West,columbus,Friend/Relative Referral
184303,8/3/2017,11-Florence,covington,Indeed
184304,8/3/2017,05-Elyria,lorain,Indeed
184305,8/3/2017,07-Columbus East,reynoldsburg,Flyer
184306,8/3/2017,03-Independence,cleveland,
184307,8/3/2017,10-West Chester,Springdale ,Craigslist
184308,8/3/2017,03-Independence,Akron,
184309,8/3/2017,12-Chicago,Joliet,Friend/Relative Referral
184310,8/3/2017,08-Columbus West,Columbus,Friend/Relative Referral
184311,8/3/2017,07-Columbus East,REYNOLDSBURG,Flyer
184312,8/3/2017,03-Independence,Garfield Heights,Craigslist
184313,8/3/2017,12-Chicago,Chicago,Craigslist
184314,8/3/2017,03-Independence,Cleveland,
184315,8/3/2017,06-Akron,Warren,Friend/Relative Referral
184316,8/3/2017,08-Columbus West,columbus,
184317,8/3/2017,08-Columbus West,Columbus,Friend/Relative Referral
184318,8/3/2017,11-Florence,FLORENCE,Friend/Relative Referral
184319,8/3/2017,08-Columbus West,Grove city,Friend/Relative Referral
184320,8/3/2017,12-Chicago,Bolingbrook,Friend/Relative Referral
184321,8/3/2017,12-Chicago,Bolingbrook,
184322,8/3/2017,06-Akron,barberton ,Craigslist
184323,8/3/2017,12-Chicago,bolingbrook,Friend/Relative Referral
184324,8/3/2017,12-Chicago,Riverdale,
184325,8/3/2017,05-Elyria,Elyria,Friend/Relative Referral
184327,8/3/2017,12-Chicago,Chicago,
184328,8/3/2017,05-Elyria,Elyria,Other web site
184329,8/3/2017,12-Chicago,Chicago Heights,
184330,8/3/2017,12-Chicago,Griffith,
184331,8/3/2017,12-Chicago,Riverdale,
184332,8/3/2017,12-Chicago,Chicago Heights,
184333,8/3/2017,11-Florence,crittenden,Indeed
184334,8/3/2017,05-Elyria,Akron,
184335,8/3/2017,11-Florence,florence ky,
184336,8/3/2017,07-Columbus East,Columbus,
184337,8/3/2017,08-Columbus West,Columbus,Friend/Relative Referral
184338,8/3/2017,11-Florence,Florence,Indeed
184339,8/3/2017,07-Columbus East,columbus,Craigslist
184340,8/3/2017,12-Chicago,Whiting,Craigslist
184341,8/3/2017,12-Chicago,harvey ,Flyer
184342,8/3/2017,12-Chicago,haevey,Flyer
184343,8/3/2017,12-Chicago,harvey,Friend/Relative Referral
184344,8/3/2017,12-Chicago,Chicago,Friend/Relative Referral
184345,8/3/2017,05-Elyria,,
184347,8/3/2017,03-Independence,Warrensville heights ,Indeed
184348,8/3/2017,06-Akron,Sebring,Craigslist
184349,8/3/2017,12-Chicago,,Advanced Careers
184350,8/3/2017,03-Independence,Cleveland,Indeed
184351,8/3/2017,08-Columbus West,Galloway,Other web site
184352,8/4/2017,12-Chicago,hammond,Craigslist
184354,8/4/2017,03-Independence,CLEVELAND,Indeed
184355,8/4/2017,09-Lancaster,columbus,Friend/Relative Referral
184356,8/4/2017,05-Elyria,wellington,Indeed
184357,8/4/2017,11-Florence,Cincinnati,Friend/Relative Referral
184358,8/4/2017,11-Florence,Cincinnati,Other web site
184359,8/4/2017,05-Elyria,elyria ,Flyer
184361,8/4/2017,12-Chicago,Chicago,
184362,8/4/2017,06-Akron,akron,
184363,8/4/2017,11-Florence,lawrenceburg,Craigslist
184364,8/4/2017,03-Independence,warrensville,Indeed
184365,8/4/2017,12-Chicago,Dolton,
184366,8/4/2017,11-Florence,Florence,Friend/Relative Referral
184367,8/4/2017,07-Columbus East,Westerville,Friend/Relative Referral
184368,8/4/2017,03-Independence,Parma,Friend/Relative Referral
184369,8/4/2017,12-Chicago,Chicago ,Flyer
184370,8/4/2017,10-West Chester,Fairfield,Other web site
184371,8/4/2017,11-Florence,Foster,Other web site
184372,8/4/2017,06-Akron,Kent,Indeed
184373,8/4/2017,12-Chicago,Chicago,Friend/Relative Referral
184374,8/4/2017,03-Independence,Maple Heights,Friend/Relative Referral
184375,8/4/2017,03-Independence,Shaker Heights,Friend/Relative Referral
184376,8/4/2017,11-Florence,cincinnati,Craigslist
184377,8/4/2017,06-Akron,NORTON,
184378,8/4/2017,03-Independence,Bedford ,
184379,8/4/2017,03-Independence,cleveland,Friend/Relative Referral
184380,8/4/2017,06-Akron,norton,
184381,8/4/2017,11-Florence,Walton ,Craigslist
184382,8/4/2017,05-Elyria,Elyria,Other web site
184383,8/4/2017,08-Columbus West,Columbus,Indeed
184384,8/4/2017,09-Lancaster,thurston,Friend/Relative Referral
184385,8/4/2017,06-Akron,Akron,
184386,8/4/2017,11-Florence,cincinnati,Craigslist
184387,8/4/2017,08-Columbus West,Galloway,Other web site
184388,8/4/2017,03-Independence,Maple,
184389,8/4/2017,08-Columbus West,urbancrest,
184390,8/4/2017,06-Akron,WADSWORTH,
184391,8/4/2017,10-West Chester,cincinnati,Flyer
184392,8/4/2017,12-Chicago,evanston,Craigslist
184393,8/4/2017,09-Lancaster,Lancaster,Friend/Relative Referral
184394,8/4/2017,11-Florence,florence,Craigslist
184395,8/4/2017,03-Independence,Bedford,
184396,8/4/2017,11-Florence,Cincinnati,Other web site
184397,8/4/2017,07-Columbus East,columbus,Other web site
184398,8/4/2017,03-Independence,cleveland,Craigslist
184399,8/4/2017,03-Independence,Cleveland,Craigslist
184400,8/4/2017,12-Chicago,Naperville,Craigslist
184401,8/4/2017,12-Chicago,Chicago,Craigslist
184402,8/4/2017,11-Florence,Cincinnati,Friend/Relative Referral
184403,8/4/2017,05-Elyria,Elyria,Indeed
184404,8/5/2017,03-Independence,Cleveland,Friend/Relative Referral
184405,8/5/2017,11-Florence,Cincinnati,Friend/Relative Referral
184406,8/5/2017,11-Florence,Butler,Newspaper Ad
184407,8/5/2017,11-Florence,Covington,Friend/Relative Referral
184408,8/5/2017,03-Independence,Bedford Hieghts,Craigslist
184409,8/6/2017,10-West Chester,Cincinnati ,Indeed
184410,8/6/2017,03-Independence,Garfield Hts,Friend/Relative Referral
184411,8/6/2017,11-Florence,Covington,Friend/Relative Referral
184412,8/6/2017,12-Chicago,Chicago,Friend/Relative Referral
184413,8/6/2017,03-Independence,Willoughby Hills,Friend/Relative Referral
184414,8/6/2017,08-Columbus West,Galloway,Newspaper Ad
184415,8/7/2017,11-Florence,covington,Other web site
184416,8/7/2017,07-Columbus East,Reynoldsburg,Indeed
184417,8/7/2017,08-Columbus West,HILLIARD,Friend/Relative Referral
184418,8/7/2017,07-Columbus East,COLUMBUS,
184419,8/7/2017,03-Independence,cleveland,Indeed
184420,8/7/2017,07-Columbus East,Whitehall,Other web site
184421,8/7/2017,05-Elyria,lorain,
184422,8/7/2017,12-Chicago,Chicago,Craigslist
184423,8/7/2017,12-Chicago,Chicago,Indeed
184424,8/7/2017,08-Columbus West,Columbus,Friend/Relative Referral
184425,8/7/2017,11-Florence,florence,Friend/Relative Referral
184426,8/7/2017,05-Elyria,loraine oh,Friend/Relative Referral
184427,8/7/2017,12-Chicago,Calumet City,Craigslist
184428,8/7/2017,08-Columbus West,Columbus,Flyer
184429,8/7/2017,12-Chicago,Bolingbrook,
184430,8/7/2017,05-Elyria,Elyria,Friend/Relative Referral
184431,8/7/2017,05-Elyria,Lorain,Flyer
184432,8/7/2017,12-Chicago,Romeoville,
184433,8/7/2017,03-Independence,Garfield Heights,Indeed
184434,8/7/2017,12-Chicago,bolingbrook,
184435,8/7/2017,11-Florence,covington,Craigslist
184436,8/7/2017,12-Chicago,chicago,Craigslist
184437,8/7/2017,06-Akron,uhrichsville,Other web site
184438,8/7/2017,06-Akron,Cuyahoga Falls ,
184439,8/7/2017,11-Florence,Ft.Thomas,Friend/Relative Referral
184440,8/7/2017,08-Columbus West,Columbus,
184441,8/7/2017,07-Columbus East,Columbus,Friend/Relative Referral
184442,8/7/2017,07-Columbus East,columbus,Friend/Relative Referral
184443,8/7/2017,12-Chicago,Chicago,Craigslist
184444,8/7/2017,05-Elyria,Elyria,Craigslist
184445,8/7/2017,08-Columbus West,columbus,
184447,8/7/2017,06-Akron,akron,Craigslist
184448,8/7/2017,08-Columbus West,columbus ,Friend/Relative Referral
184449,8/7/2017,11-Florence,new port ,Friend/Relative Referral
184450,8/7/2017,06-Akron,sterling,Craigslist
184452,8/7/2017,03-Independence,Akron,Friend/Relative Referral
184453,8/7/2017,05-Elyria,Lorain,Other web site
184454,8/7/2017,06-Akron,akron,Friend/Relative Referral
184455,8/7/2017,03-Independence,cleveland,Friend/Relative Referral
184457,8/7/2017,11-Florence,sparta ky,
184458,8/7/2017,06-Akron,Akron ,Indeed
184459,8/7/2017,07-Columbus East,reynoldsburg,
184461,8/7/2017,07-Columbus East,Columbus,Friend/Relative Referral
184462,8/7/2017,12-Chicago,joliet il.,Flyer
184463,8/7/2017,12-Chicago,Chicago,Friend/Relative Referral
184464,8/7/2017,03-Independence,bedford heights,Indeed
184465,8/7/2017,05-Elyria,elyria,Indeed
184466,8/7/2017,07-Columbus East,Columbus,Indeed
184467,8/7/2017,07-Columbus East,Columbus,Broadbean
184468,8/7/2017,07-Columbus East,columbus,Indeed
184469,8/7/2017,11-Florence,Goshen,Craigslist
184470,8/7/2017,05-Elyria,Lorain,Indeed
184471,8/7/2017,05-Elyria,Lorain,Other web site
184472,8/7/2017,03-Independence,maple heights,Other web site
184473,8/7/2017,11-Florence,covington,Flyer
184474,8/7/2017,09-Lancaster,Peebles,
184475,8/7/2017,07-Columbus East,Westerville,Friend/Relative Referral
184476,8/7/2017,11-Florence,Dry ridge,Friend/Relative Referral
184477,8/7/2017,11-Florence,crittenden,Friend/Relative Referral
184478,8/7/2017,11-Florence,Cincinnati ,Friend/Relative Referral
184479,8/7/2017,12-Chicago,,Advanced Careers
184480,8/7/2017,11-Florence,florence,Friend/Relative Referral
184481,8/7/2017,05-Elyria,Elyria,Craigslist
184482,8/7/2017,05-Elyria,Lorain,Friend/Relative Referral
184483,8/7/2017,05-Elyria,Lorain,Friend/Relative Referral
184484,8/7/2017,12-Chicago,Cicero ,
184485,8/7/2017,05-Elyria,Elyria,Other web site
184486,8/7/2017,07-Columbus East,columbus,Craigslist
184487,8/7/2017,06-Akron,akron,Friend/Relative Referral
184488,8/7/2017,11-Florence,ERLANGER,Friend/Relative Referral
184489,8/7/2017,05-Elyria,Ashland,
184490,8/7/2017,09-Lancaster,lancaster,
184491,8/7/2017,08-Columbus West,Columbus,Friend/Relative Referral
184492,8/7/2017,11-Florence,union,Friend/Relative Referral
184493,8/7/2017,11-Florence,Florence,Monster.com
184494,8/7/2017,11-Florence,,Advanced Careers
184495,8/7/2017,12-Chicago,Bolingbrook ,Indeed
184496,8/7/2017,05-Elyria,Sheffield Village,Walk-In
184497,8/7/2017,03-Independence,Cleveland,Other web site
184498,8/7/2017,11-Florence,Covington,
184499,8/7/2017,03-Independence,Cleveland,Friend/Relative Referral
184500,8/7/2017,06-Akron,Akron,Indeed
184501,8/7/2017,12-Chicago,Hazel Crest,Craigslist
184502,8/8/2017,11-Florence,cresent springs,
184503,8/8/2017,08-Columbus West,Columbus,Friend/Relative Referral
184504,8/8/2017,03-Independence,Cleveland,Friend/Relative Referral
184505,8/8/2017,03-Independence,Cleveland ,Friend/Relative Referral
184506,8/8/2017,05-Elyria,New London,
184507,8/8/2017,07-Columbus East,columbus,
184508,8/8/2017,03-Independence,Garfield,Friend/Relative Referral
184509,8/8/2017,03-Independence,Euclid,Friend/Relative Referral
184511,8/8/2017,12-Chicago,Sauk Village,Indeed
184512,8/8/2017,03-Independence,cleveland,Indeed
184513,8/8/2017,06-Akron,Munroe Falls,Indeed
184514,8/8/2017,05-Elyria,Lorain,Other web site
184515,8/8/2017,05-Elyria,Lorain,Indeed
184516,8/8/2017,12-Chicago,chicago,Indeed
184517,8/8/2017,11-Florence,Erlanger,Craigslist
184518,8/8/2017,05-Elyria,Lorain,Friend/Relative Referral
184519,8/8/2017,11-Florence,covington ,Friend/Relative Referral
184520,8/8/2017,11-Florence,Goshen,Craigslist
184521,8/8/2017,05-Elyria,elyria,
184522,8/8/2017,11-Florence,Cincinnati ,Craigslist
184523,8/8/2017,05-Elyria,Lorain,Friend/Relative Referral
184524,8/8/2017,11-Florence,pertersburg,Friend/Relative Referral
184525,8/8/2017,12-Chicago,University Park,
184526,8/8/2017,12-Chicago,Beecher,
184527,8/8/2017,07-Columbus East,Columbus,Friend/Relative Referral
184528,8/8/2017,12-Chicago,chicago,
184529,8/8/2017,07-Columbus East,Columbus,
184530,8/8/2017,07-Columbus East,Columbus,
184531,8/8/2017,03-Independence,broadview heights,
184532,8/8/2017,07-Columbus East,Columbus,
184533,8/8/2017,11-Florence,independence,Indeed
184534,8/8/2017,11-Florence,independence,Flyer
184535,8/8/2017,11-Florence,Hebron,
184536,8/8/2017,03-Independence,South Euclid,Indeed
184537,8/8/2017,11-Florence,elsmere ,Friend/Relative Referral
184538,8/8/2017,11-Florence,Independence,
184539,8/8/2017,12-Chicago,Homewood,
184540,8/8/2017,03-Independence,PARMA OH ,Craigslist
184541,8/8/2017,12-Chicago,Chicago,Indeed
184542,8/8/2017,03-Independence,Cleveland ,Indeed
184543,8/8/2017,05-Elyria,Sandusky,Indeed
184544,8/8/2017,06-Akron,Akron,Craigslist
184545,8/8/2017,05-Elyria,Lagrange ,Craigslist
184546,8/8/2017,06-Akron,Akron,Friend/Relative Referral
184547,8/8/2017,06-Akron,Tallmadge,Indeed
184548,8/8/2017,06-Akron,Akron,Indeed
184549,8/8/2017,12-Chicago,Bolingbrook,Friend/Relative Referral
184550,8/8/2017,12-Chicago,Chicago ,
184551,8/8/2017,07-Columbus East,Whitehall,Indeed
184552,8/8/2017,03-Independence,lakewood,
184553,8/8/2017,12-Chicago,Montgomery,
184554,8/8/2017,07-Columbus East,Columbus,Friend/Relative Referral
184555,8/8/2017,06-Akron,Wadsworth,
184556,8/8/2017,12-Chicago,Aurora ,
184557,8/8/2017,06-Akron,akron,Friend/Relative Referral
184558,8/8/2017,03-Independence,Cleveland ,
184559,8/8/2017,12-Chicago,Chicago,
184561,8/8/2017,05-Elyria,Grafton,Other web site
184562,8/8/2017,05-Elyria,Lorain,Friend/Relative Referral
184563,8/8/2017,11-Florence,Florence,Friend/Relative Referral
184565,8/8/2017,12-Chicago,Lemont,
184566,8/8/2017,08-Columbus West,Columbus,Friend/Relative Referral
184568,8/8/2017,03-Independence,Garfield Hts,Indeed
184569,8/8/2017,07-Columbus East,Columbus ,Friend/Relative Referral
184570,8/8/2017,05-Elyria,,
184571,8/8/2017,12-Chicago,Chicago,
184572,8/8/2017,12-Chicago,romeoville,
184573,8/8/2017,05-Elyria,,
184574,8/8/2017,11-Florence,cincinnati,Friend/Relative Referral
184575,8/8/2017,03-Independence,Cleveland,Indeed
184576,8/8/2017,05-Elyria,Lorain,
184577,8/8/2017,03-Independence,Cleveland ,Friend/Relative Referral
184578,8/8/2017,11-Florence,Cincinnati,Other web site
184579,8/8/2017,07-Columbus East,Columbus ,Indeed
184580,8/8/2017,12-Chicago,Park Forest,
184581,8/8/2017,12-Chicago,Woodridge,Friend/Relative Referral
184582,8/8/2017,12-Chicago,Bolingbrook,Friend/Relative Referral
184583,8/8/2017,05-Elyria,Lorain,Friend/Relative Referral
184584,8/8/2017,12-Chicago,Markham,Friend/Relative Referral
184585,8/9/2017,05-Elyria,Lorain,Indeed
184586,8/9/2017,12-Chicago,Bolingbrook,
184588,8/9/2017,03-Independence,cleveland,Indeed
184590,8/9/2017,11-Florence,Hebron,Indeed
184591,8/9/2017,05-Elyria,Elyria,Flyer
184592,8/9/2017,08-Columbus West,columbus,Friend/Relative Referral
184593,8/9/2017,14-Louisville,,Advanced Careers
184594,8/9/2017,07-Columbus East,Columbus,Friend/Relative Referral
184595,8/9/2017,11-Florence,Burlington,Craigslist
184596,8/9/2017,14-Louisville,Shepherdsville,Friend/Relative Referral
184597,8/9/2017,14-Louisville,,Advanced Careers
184598,8/9/2017,14-Louisville,louisville,Broadbean
184599,8/9/2017,09-Lancaster,,Advanced Careers
184600,8/9/2017,14-Louisville,,Advanced Careers
184601,8/9/2017,14-Louisville,,Advanced Careers
184602,8/9/2017,14-Louisville,,Advanced Careers
184603,8/9/2017,11-Florence,burlington,Friend/Relative Referral
184604,8/9/2017,12-Chicago,,Advanced Careers
184605,8/9/2017,03-Independence,,
184606,8/9/2017,05-Elyria,Lorain,Friend/Relative Referral
184607,8/9/2017,05-Elyria,Lorain,Friend/Relative Referral
184608,8/9/2017,12-Chicago,Hazelcrest ,Friend/Relative Referral
184609,8/9/2017,03-Independence,richmond height,
184610,8/9/2017,12-Chicago,berwyn ,Friend/Relative Referral
184611,8/9/2017,11-Florence,Hebron,Friend/Relative Referral
184612,8/9/2017,03-Independence,Warrensville hts.,Friend/Relative Referral
184613,8/9/2017,12-Chicago,Lansing,Indeed
184614,8/9/2017,06-Akron,Akron,Other web site
184615,8/9/2017,11-Florence,florence,
184616,8/9/2017,03-Independence,Cleveland,
184617,8/9/2017,03-Independence,cleveland heights,Friend/Relative Referral
184618,8/9/2017,03-Independence,cleveland,Friend/Relative Referral
184619,8/9/2017,07-Columbus East,Columbus ,Other web site
184620,8/9/2017,09-Lancaster,Rockbridge,Friend/Relative Referral
184621,8/9/2017,12-Chicago,chicago,Indeed
184622,8/9/2017,07-Columbus East,Pickerington,Indeed
184623,8/9/2017,08-Columbus West,columbus,Friend/Relative Referral
184624,8/9/2017,10-West Chester,Cincinnati,Flyer
184625,8/9/2017,10-West Chester,cincinnati,Craigslist
184626,8/9/2017,07-Columbus East,Galloway,Friend/Relative Referral
184627,8/9/2017,10-West Chester,Cincinnati,Indeed
184628,8/9/2017,10-West Chester,Cincinnati,Craigslist
184629,8/9/2017,03-Independence,cleveland,Indeed
184630,8/9/2017,06-Akron,Cuyahoga Falls,Other web site
184631,8/9/2017,11-Florence,florence ,
184632,8/9/2017,07-Columbus East,bellefontaine,Friend/Relative Referral
184633,8/9/2017,10-West Chester,trenton,Friend/Relative Referral
184634,8/9/2017,07-Columbus East,Columbus,Friend/Relative Referral
184635,8/9/2017,10-West Chester,Liberty Township,Indeed
184636,8/9/2017,08-Columbus West,columbus,Indeed
184638,8/9/2017,10-West Chester,cincinnati,Friend/Relative Referral
184639,8/9/2017,06-Akron,akron,Indeed
184640,8/9/2017,07-Columbus East,Columbus,
184641,8/9/2017,07-Columbus East,COLUMBUS,
184642,8/9/2017,05-Elyria,Lorain,Indeed
