,Date,Name,Split,Amount,Total Spent,,,,,,,Name,Amount
,8/2/2017,Indeed,2067 · Fidelity Visa - Reliable,80.38,,,,,,,,Indeed,80.38
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/2/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,90,,,,,,,,CraigsList,90
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,90,,,,,,,,CraigsList,90
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,90,,,,,,,,CraigsList,90
,8/3/2017,CraigsList,2063 · Fidelity Visa Signature Card,90,,,,,,,,CraigsList,90
,8/3/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/3/2017,CraigsList,2067 · Fidelity Visa - Reliable,25,,,,,,,,CraigsList,25
,8/4/2017,"Tuttle Marketing Services, Inc.",0102 · Huntington Operating,431.7,,,,,,,,"Tuttle Marketing Services, Inc.",431.7
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
,8/4/2017,CraigsList,2063 · Fidelity Visa Signature Card,25,,,,,,,,CraigsList,25
