AIdent,Hours_Worked
184870,300.94
184870,79.27
184870,63.47
184870,20.35
184870,237.69
184871,331.1
184871,22.5
184872,2
184872,3
184873,76.22
184874,22.5
184875,82.2
184877,59
184878,10
184879,13.75
184881,96.5
184882,302.44
184885,24.56
184889,8
184893,19.97
184893,84.82
184893,132.25
184895,46
184895,47.44
184896,23
184896,84.7
184898,71.92
184899,56
184899,88
184901,885
184903,906.5
184904,56
184904,376
184905,7.5
184905,104.42
184905,152.22
184905,176.1
184905,5.75
184905,2.23
184906,63
184907,52.75
184908,12
184908,14.5
184911,21.25
184912,21.25
184913,21.25
184914,55.49
184914,108
184914,8
184914,0
184914,20.67
184914,12.95
184914,8
184916,284.44
184917,97.5
184918,179.39
184926,132.5
184926,383.75
184929,5
184934,120.63
184934,2.25
184938,7.6
184938,286.71
184938,391.86
184938,71.49
184938,91.05
184938,239.15
184939,428.11
184939,283.23
184941,21.49
184941,21.12
184941,127.29
184944,726.25
184948,8
184948,144.75
184948,254.25
184950,163.64
184951,39
184952,88.86
184953,21.5
184953,696
184953,8
184953,252.25
184953,41.75
184953,18
184953,5.75
184954,4.5
184955,6
184955,27.5
184957,31.5
184958,469.5
184958,508
184960,7.5
184961,440.75
184961,458.5
184962,118.25
184963,7.5
184964,7.5
184967,758.25
184967,337
184968,1.25
184968,138.45
184968,226
184968,2.25
184971,38.5
184971,197
184972,14.57
184973,32.75
184973,151.75
184975,381
184975,564.25
184976,523.25
184976,440.5
184977,8
184977,44
184978,1064.5
184981,294.5
184981,621.75
184982,189.75
184983,74.25
184985,192
184986,446.25
184986,581
184987,49.25
184988,15
184990,38.5
184990,102.31
184994,79
184996,7.5
184996,52.5
184996,82.5
184997,53.25
184998,497.25
184998,555.25
184999,133.5
184999,31.81
184999,8
185000,364.5
185001,61.75
185002,104.75
185007,26.5
185008,145
185009,12.5
185011,3.25
185011,3
185014,111.9
185015,111.4
185016,134
185018,542.5
185024,104
185025,4.5
185026,90
185029,138
185030,4
185030,238.25
185032,7.5
185034,7.5
185035,7.5
185036,8.5
185037,27.13
185038,58.45
185040,126.82
185041,200
185044,31.48
185049,9
185052,37.75
185052,16.25
185053,14
185053,61.75
185054,64
185057,957.7
185061,4.5
185064,69
185064,5.5
185065,15
185069,261.25
185070,16.25
185073,7.5
185073,7.5
185079,53.5
185079,209.25
185080,23.75
185080,391.25
185081,94.5
185082,41
185082,203.5
185082,125
185082,1.5
185082,7.75
185083,61.25
185084,20.75
185087,1.5
185090,48
185090,44.25
185090,37.75
185090,163
185090,721.75
185092,32
185093,3.25
185095,54.15
185096,120.5
185096,0
185096,150.53
185096,40.5
185096,180.15
185097,35
185099,5.62
185100,5.62
185101,28
185102,8
185102,34
185106,64.75
185107,125.5
185108,59.95
185109,20
185118,24
185118,128.75
185118,154
185120,4.5
185122,29.51
185126,0
185126,0
185126,1
185126,131.06
185126,18.91
185126,64
185126,28.75
185126,41
185126,38.25
185126,45.75
185126,12.5
185126,78.33
185127,38.63
185129,52.5
185130,26.5
185130,22.5
185130,17.15
185130,89.22
185131,79
185134,161.16
185134,44.2
185152,203.5
185152,183
185152,56
185156,45
185156,24
185157,9.5
185164,16
185164,31.15
185164,10.5
185164,276.98
185164,300
185165,36
185168,164.95
185169,7.8
185172,92.4
185172,141.87
185172,59.29
185175,141.33
185175,30.5
185177,74.1
185179,71.75
185180,24
185182,308
185185,4
185187,11.75
185188,0
185188,0
185188,1.25
185188,13.02
185192,37.3
185194,24
185194,68
185195,4
185196,4
185197,26.25
185200,8
185203,31
185203,153.25
185203,5.45
185204,339
185204,657.75
185205,20
185206,8.83
185208,8
185209,3.25
185209,40
185210,26.87
185210,420.75
185210,6.4
185210,28.02
185219,40
185219,1000
185223,13.9
185227,15
185233,37.5
185234,110.5
185238,49
185242,67.3
185242,758
185244,30
185244,176.9
185244,64
185244,40.5
185246,1025.58
185247,258.39
185252,88
185253,112.23
185253,68
185253,100
185255,12.88
185256,12.87
185257,12.87
185258,40
185260,119.37
185261,90.5
185261,68.9
185261,28
185261,27.75
185269,117.75
185269,41.02
185270,7.5
185271,662
185271,311.5
185272,7.5
