,Item_ID,AIdent,Branch,How_Heard,Profit
121,674822,207930,11-Florence,Walk-In,65.3604
122,671675,207987,11-Florence,Friend/Relative Referral,650.9504
123,670567,207987,11-Florence,Friend/Relative Referral,214.644
124,668705,207987,11-Florence,Friend/Relative Referral,223.6416
125,668074,207987,11-Florence,Friend/Relative Referral,81.8688
126,670687,207992,11-Florence,Friend/Relative Referral,329.2448
127,668742,207992,11-Florence,Friend/Relative Referral,160.176
128,667910,207992,11-Florence,Friend/Relative Referral,94.08
129,670670,208037,11-Florence,Indeed,285.8448
130,668618,208037,11-Florence,Indeed,172.56
131,673785,208037,11-Florence,Indeed,274.8515
132,678303,208037,11-Florence,Indeed,13.7472
133,670690,208142,11-Florence,Friend/Relative Referral,560.6784
134,668749,208142,11-Florence,Friend/Relative Referral,213.84
135,668039,208142,11-Florence,Friend/Relative Referral,59.4496
136,670669,208181,11-Florence,Walk-In,121.3712
137,668539,208181,11-Florence,Walk-In,210.72
138,677526,208181,11-Florence,Walk-In,126.06
139,676830,208181,11-Florence,Walk-In,90.695
140,670643,208326,11-Florence,Indeed,330.6336
141,668232,208326,11-Florence,Indeed,221.808
142,673778,208326,11-Florence,Indeed,111.6
143,672128,208326,11-Florence,Indeed,139.62
144,670676,208327,11-Florence,Other web site,250.728
145,668626,208327,11-Florence,Other web site,238.08
146,670742,208350,11-Florence,Friend/Relative Referral,148.9984
147,669174,208350,11-Florence,Friend/Relative Referral,194.016
148,676218,208350,11-Florence,Friend/Relative Referral,0
149,670659,208400,11-Florence,Friend/Relative Referral,284.704
150,668533,208400,11-Florence,Friend/Relative Referral,238.32
151,672136,208400,11-Florence,Friend/Relative Referral,312.355
152,670663,208557,11-Florence,Friend/Relative Referral,969.2336
153,668538,208557,11-Florence,Friend/Relative Referral,224.544
154,670736,208644,11-Florence,Walk-In,163.2832
155,668987,208644,11-Florence,Walk-In,90.72
156,670735,208645,11-Florence,Walk-In,48.856
157,668986,208645,11-Florence,Walk-In,91.008
158,670732,208676,11-Florence,Craigslist,950.088
159,668983,208676,11-Florence,Craigslist,109.584
160,676778,208676,11-Florence,Craigslist,32.8
161,670734,208708,11-Florence,Other web site,1318.8144
162,668985,208708,11-Florence,Other web site,109.68
163,675640,208708,11-Florence,Other web site,921.7692
